Rk,Date,Tm,Opp,Result,Player,Dist,Good.,Blk.
10,2016-10-16,PHI,WAS,L 20-27,Caleb Sturgis,28,Y,N
11,2016-10-23,IND,TEN,W 34-26,Adam Vinatieri,28,Y,N
12,2016-10-23,SFO,TAM,L 17-34,Phil Dawson,28,Y,N
13,2016-10-23,CLE,CIN,L 17-31,Cody Parkey,28,Y,N
14,2016-10-23,SEA,ARI,T 6-6,Stephen Hauschka,28,N,N
15,2016-10-30,DEN,SDG,W 27-19,Brandon McManus,28,Y,N
16,2016-10-30,KAN,IND,W 30-14,Cairo Santos,28,N,N
17,2016-10-31,CHI,MIN,W 20-10,Connor Barth,28,Y,N
18,2016-11-06,NYJ,MIA,L 23-27,Nick Folk,28,Y,N
19,2016-11-06,IND,GNB,W 31-26,Adam Vinatieri,28,Y,N
20,2016-11-13,WAS,MIN,W 26-20,Dustin Hopkins,28,Y,N
21,2016-11-13,DEN,NOR,W 25-23,Brandon McManus,28,Y,N
22,2016-11-21,HOU,OAK,L 20-27,Nick Novak,28,Y,N
23,2016-11-24,MIN,DET,L 13-16,Kai Forbath,28,Y,N
24,2016-11-27,NWE,NYJ,W 22-17,Stephen Gostkowski,28,Y,N
25,2016-12-04,SEA,CAR,W 40-7,Stephen Hauschka,28,Y,N
26,2016-12-04,ARI,WAS,W 31-23,Chandler Catanzaro,28,Y,N
27,2016-12-04,NWE,LAR,W 26-10,Stephen Gostkowski,28,Y,N
28,2016-12-04,SFO,CHI,L 6-26,Phil Dawson,28,Y,N
29,2016-12-11,SEA,GNB,L 10-38,Stephen Hauschka,28,Y,N
30,2016-12-24,BUF,MIA,L 31-34,Dan Carpenter,28,Y,N
31,2017-01-01,SEA,SFO,W 25-23,Stephen Hauschka,28,Y,N
32,2017-01-22,ATL,GNB,W 44-21,Matt Bryant,28,Y,N
1,2016-09-11,MIA,SEA,L 10-12,Andrew Franks,27,N,Y
2,2016-09-18,DET,TEN,L 15-16,Matt Prater,27,Y,N
3,2016-09-18,MIA,NWE,L 24-31,Andrew Franks,27,Y,N
4,2016-09-25,KAN,NYJ,W 24-3,Cairo Santos,27,Y,N
5,2016-09-25,SDG,IND,L 22-26,Josh Lambo,27,Y,N
6,2016-10-09,WAS,BAL,W 16-10,Dustin Hopkins,27,Y,N
7,2016-10-16,HOU,IND,W 26-23,Nick Novak,27,Y,N
8,2016-10-23,ATL,SDG,L 30-33,Matt Bryant,27,Y,N
9,2016-10-23,DET,WAS,W 20-17,Matt Prater,27,Y,N
10,2016-10-23,JAX,OAK,L 16-33,Jason Myers,27,Y,N
11,2016-10-30,CLE,NYJ,L 28-31,Cody Parkey,27,Y,N
12,2016-11-06,GNB,IND,L 26-31,Mason Crosby,27,Y,N
13,2016-11-13,TAM,CHI,W 36-10,Roberto Aguayo,27,Y,N
14,2016-11-13,SEA,NWE,W 31-24,Stephen Hauschka,27,Y,N
15,2016-11-13,MIA,SDG,W 31-24,Andrew Franks,27,Y,N
16,2016-11-17,NOR,CAR,L 20-23,Wil Lutz,27,Y,N
17,2016-11-20,DET,JAX,W 26-19,Matt Prater,27,Y,N
18,2016-11-20,JAX,DET,L 19-26,Jason Myers,27,Y,N
19,2016-11-20,MIN,ARI,W 30-24,Kai Forbath,27,Y,N
20,2016-12-04,DET,NOR,W 28-13,Matt Prater,27,Y,N
21,2016-12-04,BUF,OAK,L 24-38,Dan Carpenter,27,Y,N
22,2016-12-04,DET,NOR,W 28-13,Matt Prater,27,Y,N
23,2016-12-04,TAM,SDG,W 28-21,Roberto Aguayo,27,Y,N
24,2016-12-18,PHI,BAL,L 26-27,Caleb Sturgis,27,Y,N
25,2016-12-18,DAL,TAM,W 26-20,Dan Bailey,27,Y,N
26,2016-12-18,HOU,JAX,W 21-20,Nick Novak,27,Y,N
27,2016-12-24,MIA,BUF,W 34-31,Andrew Franks,27,Y,N
28,2016-12-24,CLE,SDG,W 20-17,Cody Parkey,27,Y,N
29,2016-12-24,SEA,ARI,L 31-34,Stephen Hauschka,27,Y,N
30,2016-12-25,KAN,DEN,W 33-10,Cairo Santos,27,Y,N
31,2017-01-07,SEA,DET,W 26-6,Stephen Hauschka,27,Y,N
32,2017-01-14,HOU,NWE,L 16-34,Nick Novak,27,Y,N
1,2016-09-11,JAX,GNB,L 23-27,Jason Myers,26,Y,N
2,2016-10-02,TEN,HOU,L 20-27,Ryan Succop,26,Y,N
3,2016-10-09,OAK,SDG,W 34-31,Sebastian Janikowski,26,Y,N
4,2016-10-09,IND,CHI,W 29-23,Adam Vinatieri,26,Y,N
5,2016-10-23,OAK,JAX,W 33-16,Sebastian Janikowski,26,Y,N
6,2016-11-06,KAN,JAX,W 19-14,Cairo Santos,26,Y,N
7,2016-11-06,NOR,SFO,W 41-23,Wil Lutz,26,Y,N
8,2016-11-06,PHI,NYG,L 23-28,Caleb Sturgis,26,Y,N
9,2016-11-20,BUF,CIN,W 16-12,Dan Carpenter,26,Y,N
10,2016-12-04,CIN,PHI,W 32-14,Mike Nugent,26,Y,N
11,2016-12-11,TAM,NOR,W 16-11,Roberto Aguayo,26,Y,N
12,2016-12-18,CHI,GNB,L 27-30,Connor Barth,26,Y,N
13,2016-12-18,JAX,HOU,L 20-21,Jason Myers,26,Y,N
14,2016-12-19,WAS,CAR,L 15-26,Dustin Hopkins,26,Y,N
15,2016-12-24,MIN,GNB,L 25-38,Kai Forbath,26,Y,N
16,2017-01-01,NWE,MIA,W 35-14,Stephen Gostkowski,26,Y,N
17,2017-01-01,HOU,TEN,L 17-24,Nick Novak,26,Y,N
18,2017-01-08,NYG,GNB,L 13-38,Robbie Gould,26,Y,N
19,2017-01-14,SEA,ATL,L 20-36,Stephen Hauschka,26,Y,N
20,2017-01-22,NWE,PIT,W 36-17,Stephen Gostkowski,26,Y,N
1,2016-09-11,DAL,NYG,L 19-20,Dan Bailey,25,Y,N
2,2016-09-11,GNB,JAX,W 27-23,Mason Crosby,25,Y,N
3,2016-09-18,CIN,PIT,L 16-24,Mike Nugent,25,Y,N
4,2016-09-18,SDG,JAX,W 38-14,Josh Lambo,25,Y,N
5,2016-09-19,PHI,CHI,W 29-14,Caleb Sturgis,25,Y,N
6,2016-09-22,NWE,HOU,W 27-0,Stephen Gostkowski,25,Y,N
7,2016-09-25,WAS,NYG,W 29-27,Dustin Hopkins,25,Y,N
8,2016-10-02,CHI,DET,W 17-14,Connor Barth,25,Y,N
9,2016-10-02,ARI,LAR,L 13-17,Chandler Catanzaro,25,Y,N
10,2016-10-09,ATL,DEN,W 23-16,Matt Bryant,25,Y,N
11,2016-10-09,GNB,NYG,W 23-16,Mason Crosby,25,Y,N
12,2016-10-16,CIN,NWE,L 17-35,Mike Nugent,25,Y,N
13,2016-11-06,LAR,CAR,L 10-13,Greg Zuerlein,25,Y,N
14,2016-11-10,BAL,CLE,W 28-7,Justin Tucker,25,Y,N
15,2016-11-13,PHI,ATL,W 24-15,Caleb Sturgis,25,Y,N
16,2016-11-13,PIT,DAL,L 30-35,Chris Boswell,25,Y,N
17,2016-11-14,CIN,NYG,L 20-21,Mike Nugent,25,Y,N
18,2016-11-27,CLE,NYG,L 13-27,Cody Parkey,25,Y,N
19,2016-11-27,ARI,ATL,L 19-38,Chandler Catanzaro,25,Y,N
20,2016-12-18,TAM,DAL,L 20-26,Roberto Aguayo,25,Y,N
21,2016-12-24,HOU,CIN,W 12-10,Nick Novak,25,Y,N
22,2017-01-01,KAN,SDG,W 37-27,Cairo Santos,25,Y,N
23,2017-01-01,NYJ,BUF,W 30-10,Nick Folk,25,Y,N
1,2016-09-18,HOU,KAN,W 19-12,Nick Novak,24,Y,N
2,2016-09-22,NWE,HOU,W 27-0,Stephen Gostkowski,24,Y,N
3,2016-10-02,BAL,OAK,L 27-28,Justin Tucker,24,Y,N
4,2016-10-02,DEN,TAM,W 27-7,Brandon McManus,24,Y,N
5,2016-10-09,CHI,IND,L 23-29,Connor Barth,24,Y,N
6,2016-10-09,MIA,TEN,L 17-30,Andrew Franks,24,Y,N
7,2016-10-16,CHI,JAX,L 16-17,Connor Barth,24,Y,N
8,2016-10-16,MIA,PIT,W 30-15,Andrew Franks,24,N,Y
9,2016-10-23,ARI,SEA,T 6-6,Chandler Catanzaro,24,N,N
10,2016-10-30,NYJ,CLE,W 31-28,Nick Folk,24,Y,N
11,2016-11-06,OAK,DEN,W 30-20,Sebastian Janikowski,24,Y,N
12,2016-11-06,KAN,JAX,W 19-14,Cairo Santos,24,Y,N
13,2016-11-20,CLE,PIT,L 9-24,Cody Parkey,24,Y,N
14,2016-11-24,WAS,DAL,L 26-31,Dustin Hopkins,24,Y,N
15,2016-11-27,MIA,SFO,W 31-24,Andrew Franks,24,Y,N
16,2016-12-11,JAX,MIN,L 16-25,Jason Myers,24,Y,N
17,2016-12-11,HOU,IND,W 22-17,Nick Novak,24,Y,N
18,2017-01-01,CIN,BAL,W 27-10,Randy Bullock,24,Y,N
1,2016-09-11,DAL,NYG,L 19-20,Dan Bailey,23,Y,N
2,2016-09-11,NYJ,CIN,L 22-23,Nick Folk,23,Y,N
3,2016-09-18,SEA,LAR,L 3-9,Stephen Hauschka,23,Y,N
4,2016-09-18,NYG,NOR,W 16-13,Josh Brown,23,Y,N
5,2016-09-18,DEN,IND,W 34-20,Brandon McManus,23,Y,N
6,2016-10-09,BUF,LAR,W 30-19,Dan Carpenter,23,Y,N
7,2016-10-16,BAL,NYG,L 23-27,Justin Tucker,23,Y,N
8,2016-10-16,MIA,PIT,W 30-15,Andrew Franks,23,Y,N
9,2016-10-27,TEN,JAX,W 36-22,Ryan Succop,23,Y,N
10,2016-10-30,BUF,NWE,L 25-41,Dan Carpenter,23,Y,N
11,2016-10-30,DAL,PHI,W 29-23,Dan Bailey,23,Y,N
12,2016-11-06,NYJ,MIA,L 23-27,Nick Folk,23,Y,N
13,2016-11-06,SDG,TEN,W 43-35,Josh Lambo,23,Y,N
14,2016-11-13,TEN,GNB,W 47-25,Ryan Succop,23,Y,N
15,2016-11-13,SEA,NWE,W 31-24,Stephen Hauschka,23,Y,N
16,2016-11-27,CIN,BAL,L 14-19,Mike Nugent,23,Y,N
17,2016-11-27,OAK,CAR,W 35-32,Sebastian Janikowski,23,Y,N
18,2016-11-27,OAK,CAR,W 35-32,Sebastian Janikowski,23,Y,N
19,2016-12-04,SEA,CAR,W 40-7,Stephen Hauschka,23,Y,N
20,2016-12-11,CAR,SDG,W 28-16,Graham Gano,23,Y,N
21,2016-12-18,CIN,PIT,L 20-24,Randy Bullock,23,Y,N
22,2016-12-19,CAR,WAS,W 26-15,Graham Gano,23,Y,N
23,2016-12-19,CAR,WAS,W 26-15,Graham Gano,23,Y,N
24,2016-12-25,BAL,PIT,L 27-31,Justin Tucker,23,Y,N
25,2017-01-01,DAL,PHI,L 13-27,Dan Bailey,23,Y,N
26,2017-01-01,CIN,BAL,W 27-10,Randy Bullock,23,Y,N
27,2017-01-22,PIT,NWE,L 17-36,Chris Boswell,23,Y,N
1,2016-09-11,PHI,CLE,W 29-10,Caleb Sturgis,22,Y,N
2,2016-09-11,NYJ,CIN,L 22-23,Nick Folk,22,N,Y
3,2016-09-18,ARI,TAM,W 40-7,Chandler Catanzaro,22,Y,N
4,2016-09-18,WAS,DAL,L 23-27,Dustin Hopkins,22,Y,N
5,2016-09-18,DAL,WAS,W 27-23,Dan Bailey,22,Y,N
6,2016-09-25,SFO,SEA,L 18-37,Phil Dawson,22,Y,N
7,2016-09-25,SEA,SFO,W 37-18,Stephen Hauschka,22,Y,N
8,2016-09-29,CIN,MIA,W 22-7,Mike Nugent,22,Y,N
9,2016-09-29,CIN,MIA,W 22-7,Mike Nugent,22,Y,N
10,2016-10-02,JAX,IND,W 30-27,Jason Myers,22,Y,N
11,2016-10-02,DAL,SFO,W 24-17,Dan Bailey,22,Y,N
12,2016-10-09,LAR,BUF,L 19-30,Greg Zuerlein,22,Y,N
13,2016-10-16,KAN,OAK,W 26-10,Cairo Santos,22,Y,N
14,2016-10-16,DAL,GNB,W 30-16,Dan Bailey,22,Y,N
15,2016-10-23,NYJ,BAL,W 24-16,Nick Folk,22,Y,N
16,2016-10-24,DEN,HOU,W 27-9,Brandon McManus,22,Y,N
17,2016-10-27,TEN,JAX,W 36-22,Ryan Succop,22,Y,N
18,2016-10-30,DEN,SDG,W 27-19,Brandon McManus,22,Y,N
19,2016-10-30,NOR,SEA,W 25-20,Wil Lutz,22,Y,N
20,2016-10-30,KAN,IND,W 30-14,Cairo Santos,22,Y,N
21,2016-11-20,PIT,CLE,W 24-9,Chris Boswell,22,Y,N
22,2016-11-20,KAN,TAM,L 17-19,Cairo Santos,22,Y,N
23,2016-11-20,TAM,KAN,W 19-17,Roberto Aguayo,22,Y,N
24,2016-12-04,ATL,KAN,L 28-29,Matt Bryant,22,Y,N
25,2016-12-04,ATL,KAN,L 28-29,Matt Bryant,22,Y,N
26,2016-12-11,NOR,TAM,L 11-16,Wil Lutz,22,Y,N
27,2016-12-18,CIN,PIT,L 20-24,Randy Bullock,22,Y,N
28,2016-12-18,CHI,GNB,L 27-30,Connor Barth,22,Y,N
29,2016-12-24,HOU,CIN,W 12-10,Nick Novak,22,Y,N
30,2016-12-24,NWE,NYJ,W 41-3,Stephen Gostkowski,22,Y,N
31,2016-12-24,CHI,WAS,L 21-41,Connor Barth,22,N,Y
32,2016-12-24,MIN,GNB,L 25-38,Kai Forbath,22,Y,N
33,2017-01-01,NYG,WAS,W 19-10,Robbie Gould,22,Y,N
34,2017-01-01,PHI,DAL,W 27-13,Caleb Sturgis,22,Y,N
35,2017-01-01,ATL,NOR,W 38-32,Matt Bryant,22,Y,N
36,2017-01-01,DEN,OAK,W 24-6,Brandon McManus,22,Y,N
37,2017-01-15,PIT,KAN,W 18-16,Chris Boswell,22,Y,N
1,2016-09-11,CIN,NYJ,W 23-22,Mike Nugent,21,Y,N
2,2016-09-18,ATL,OAK,W 35-28,Matt Bryant,21,Y,N
3,2016-09-18,CIN,PIT,L 16-24,Mike Nugent,21,Y,N
4,2016-09-26,ATL,NOR,W 45-32,Matt Bryant,21,Y,N
5,2016-10-02,DET,CHI,L 14-17,Matt Prater,21,Y,N
6,2016-10-02,ARI,LAR,L 13-17,Chandler Catanzaro,21,Y,N
7,2016-10-13,SDG,DEN,W 21-13,Josh Lambo,21,Y,N
8,2016-10-16,NYG,BAL,W 27-23,Josh Brown,21,Y,N
9,2016-10-23,PHI,MIN,W 21-10,Caleb Sturgis,21,Y,N
10,2016-10-30,NOR,SEA,W 25-20,Wil Lutz,21,Y,N
11,2016-10-30,SEA,NOR,L 20-25,Stephen Hauschka,21,Y,N
12,2016-10-30,CAR,ARI,W 30-20,Graham Gano,21,Y,N
13,2016-11-06,NYJ,MIA,L 23-27,Nick Folk,21,Y,N
14,2016-11-20,SEA,PHI,W 26-15,Stephen Hauschka,21,Y,N
15,2016-11-20,DAL,BAL,W 27-17,Dan Bailey,21,Y,N
16,2016-12-11,MIA,ARI,W 26-23,Andrew Franks,21,Y,N
17,2016-12-11,HOU,IND,W 22-17,Nick Novak,21,Y,N
18,2016-12-18,BUF,CLE,W 33-13,Dan Carpenter,21,Y,N
19,2016-12-18,OAK,SDG,W 19-16,Sebastian Janikowski,21,Y,N
20,2016-12-18,NWE,DEN,W 16-3,Stephen Gostkowski,21,Y,N
21,2016-12-24,NOR,TAM,W 31-24,Wil Lutz,21,Y,N
22,2017-01-01,MIN,CHI,W 38-10,Kai Forbath,21,Y,N
1,2016-09-11,NOR,OAK,L 34-35,Wil Lutz,20,Y,N
2,2016-09-11,GNB,JAX,W 27-23,Mason Crosby,20,Y,N
3,2016-09-11,NYJ,CIN,L 22-23,Nick Folk,20,Y,N
4,2016-09-18,ATL,OAK,W 35-28,Matt Bryant,20,Y,N
5,2016-09-25,DEN,CIN,W 29-17,Brandon McManus,20,Y,N
6,2016-10-09,OAK,SDG,W 34-31,Sebastian Janikowski,20,Y,N
7,2016-10-30,WAS,CIN,T 27-27,Dustin Hopkins,20,Y,N
8,2016-11-13,LAR,NYJ,W 9-6,Greg Zuerlein,20,Y,N
9,2016-11-20,BUF,CIN,W 16-12,Dan Carpenter,20,Y,N
10,2016-11-21,OAK,HOU,W 27-20,Sebastian Janikowski,20,Y,N
11,2016-11-24,WAS,DAL,L 26-31,Dustin Hopkins,20,Y,N
12,2016-11-27,CLE,NYG,L 13-27,Cody Parkey,20,Y,N
13,2016-12-04,WAS,ARI,L 23-31,Dustin Hopkins,20,Y,N
14,2016-12-24,WAS,CHI,W 41-21,Dustin Hopkins,20,Y,N
1,2015-10-11,KAN,CHI,L 17-18,Cairo Santos,66,N,N
1,2015-10-11,STL,GNB,L 10-24,Greg Zuerlein,63,N,N
2,2015-10-25,STL,CLE,W 24-6,Greg Zuerlein,63,N,N
3,2015-10-29,MIA,NWE,L 7-36,Andrew Franks,63,N,N
1,2015-11-08,STL,MIN,L 18-21,Greg Zuerlein,61,Y,N
1,2015-10-12,SDG,PIT,L 20-24,Josh Lambo,60,N,N
1,2016-01-03,DET,CHI,W 24-20,Matt Prater,59,Y,N
1,2015-09-20,JAX,MIA,W 23-20,Jason Myers,58,Y,N
2,2015-09-27,TAM,HOU,L 9-19,Kyle Brindza,58,Y,N
3,2015-11-15,BAL,JAX,L 20-22,Justin Tucker,58,N,N
1,2015-09-13,DEN,BAL,W 19-13,Brandon McManus,57,Y,N
2,2015-09-27,TAM,HOU,L 9-19,Kyle Brindza,57,N,N
3,2015-10-11,NWE,DAL,W 30-6,Stephen Gostkowski,57,Y,N
4,2015-11-29,NOR,HOU,L 6-24,Kai Forbath,57,Y,N
1,2015-09-13,DEN,BAL,W 19-13,Brandon McManus,56,Y,N
2,2015-11-01,GNB,DEN,L 10-29,Mason Crosby,56,Y,N
3,2015-11-22,OAK,DET,L 13-18,Sebastian Janikowski,56,Y,N
4,2015-12-20,HOU,IND,W 16-10,Nick Novak,56,N,N
1,2015-09-20,TAM,NOR,W 26-19,Kyle Brindza,55,Y,N
2,2015-10-25,NYJ,NWE,L 23-30,Nick Folk,55,Y,N
3,2015-10-26,ARI,BAL,W 26-18,Chandler Catanzaro,55,N,N
4,2015-11-01,CHI,MIN,L 20-23,Robbie Gould,55,Y,N
5,2015-11-08,TEN,NOR,W 34-28,Ryan Succop,55,N,N
6,2015-11-08,IND,DEN,W 27-24,Adam Vinatieri,55,Y,N
7,2015-12-06,BAL,MIA,L 13-15,Justin Tucker,55,N,N
8,2016-01-17,SEA,CAR,L 24-31,Stephen Hauschka,55,N,N
1,2015-09-17,DEN,KAN,W 31-24,Brandon McManus,54,Y,N
2,2015-09-20,GNB,SEA,W 27-17,Mason Crosby,54,Y,N
3,2015-09-20,SEA,GNB,L 17-27,Stephen Hauschka,54,Y,N
4,2015-09-27,BUF,MIA,W 41-14,Dan Carpenter,54,N,N
5,2015-10-04,CHI,OAK,W 22-20,Robbie Gould,54,Y,N
6,2015-10-04,IND,JAX,W 16-13,Adam Vinatieri,54,Y,N
7,2015-10-12,SDG,PIT,L 20-24,Josh Lambo,54,Y,N
8,2015-10-18,WAS,NYJ,L 20-34,Dustin Hopkins,54,Y,N
9,2015-10-25,KAN,PIT,W 23-13,Cairo Santos,54,N,N
10,2015-11-01,SFO,STL,L 6-27,Phil Dawson,54,Y,N
11,2015-11-15,NWE,NYG,W 27-26,Stephen Gostkowski,54,Y,N
12,2015-11-23,NWE,BUF,W 20-13,Stephen Gostkowski,54,N,N
13,2015-11-29,TAM,IND,L 12-25,Connor Barth,54,N,N
14,2015-11-29,KAN,BUF,W 30-22,Cairo Santos,54,N,N
15,2015-12-07,DAL,WAS,W 19-16,Dan Bailey,54,Y,N
16,2015-12-10,MIN,ARI,L 20-23,Blair Walsh,54,Y,N
17,2015-12-13,CIN,PIT,L 20-33,Mike Nugent,54,N,N
18,2015-12-27,ATL,CAR,W 20-13,Shayne Graham,54,Y,N
19,2016-01-03,DET,CHI,W 24-20,Matt Prater,54,N,N
1,2015-09-13,CAR,JAX,W 20-9,Graham Gano,53,N,N
2,2015-09-20,CAR,HOU,W 24-17,Graham Gano,53,N,Y
3,2015-09-27,NYJ,PHI,L 17-24,Nick Folk,53,Y,N
4,2015-10-04,JAX,IND,L 13-16,Jason Myers,53,N,N
5,2015-10-04,HOU,ATL,L 21-48,Nick Novak,53,N,N
6,2015-10-11,WAS,ATL,L 19-25,Dustin Hopkins,53,N,N
7,2015-10-11,STL,GNB,L 10-24,Greg Zuerlein,53,N,N
8,2015-10-18,SFO,BAL,W 25-20,Phil Dawson,53,Y,N
9,2015-10-25,MIA,HOU,W 44-26,Andrew Franks,53,Y,N
10,2015-10-25,MIN,DET,W 28-19,Blair Walsh,53,Y,N
11,2015-11-08,TAM,NYG,L 18-32,Connor Barth,53,Y,N
12,2015-11-08,NYG,TAM,W 32-18,Josh Brown,53,Y,N
13,2015-11-08,PHI,DAL,W 33-27,Caleb Sturgis,53,Y,N
14,2015-11-08,STL,MIN,L 18-21,Greg Zuerlein,53,Y,N
15,2015-11-15,DAL,TAM,L 6-10,Dan Bailey,53,Y,N
16,2015-11-15,NYG,NWE,L 26-27,Josh Brown,53,Y,N
17,2015-11-15,JAX,BAL,W 22-20,Jason Myers,53,Y,N
18,2015-11-15,MIN,OAK,W 30-14,Blair Walsh,53,N,N
19,2015-11-19,TEN,JAX,L 13-19,Ryan Succop,53,N,N
20,2015-11-29,SFO,ARI,L 13-19,Phil Dawson,53,Y,N
21,2015-12-13,NYJ,TEN,W 30-8,Randy Bullock,53,N,N
22,2015-12-17,TAM,STL,L 23-31,Connor Barth,53,Y,N
23,2015-12-20,KAN,BAL,W 34-14,Cairo Santos,53,Y,N
24,2015-12-20,MIN,CHI,W 38-17,Blair Walsh,53,Y,N
25,2015-12-27,MIN,NYG,W 49-17,Blair Walsh,53,Y,N
1,2015-09-13,IND,BUF,L 14-27,Adam Vinatieri,52,N,N
2,2015-09-13,BAL,DEN,L 13-19,Justin Tucker,52,Y,N
3,2015-09-20,TAM,NOR,W 26-19,Kyle Brindza,52,N,N
4,2015-09-20,STL,WAS,L 10-24,Greg Zuerlein,52,Y,N
5,2015-10-01,BAL,PIT,W 23-20,Justin Tucker,52,Y,N
6,2015-10-05,SEA,DET,W 13-10,Stephen Hauschka,52,Y,N
7,2015-10-11,DEN,OAK,W 16-10,Brandon McManus,52,Y,N
8,2015-10-11,WAS,ATL,L 19-25,Dustin Hopkins,52,Y,N
9,2015-10-25,PHI,CAR,L 16-27,Caleb Sturgis,52,Y,N
10,2015-10-25,DET,MIN,L 19-28,Matt Prater,52,Y,N
11,2015-10-29,NWE,MIA,W 36-7,Stephen Gostkowski,52,Y,N
12,2015-11-01,OAK,NYJ,W 34-20,Sebastian Janikowski,52,N,N
13,2015-11-01,DAL,SEA,L 12-13,Dan Bailey,52,Y,N
14,2015-11-01,OAK,NYJ,W 34-20,Sebastian Janikowski,52,Y,N
15,2015-11-02,CAR,IND,W 29-26,Graham Gano,52,Y,N
16,2015-11-15,GNB,DET,L 16-18,Mason Crosby,52,N,N
17,2015-11-15,TAM,DAL,W 10-6,Connor Barth,52,Y,N
18,2015-11-22,GNB,MIN,W 30-13,Mason Crosby,52,Y,N
19,2015-11-22,STL,BAL,L 13-16,Greg Zuerlein,52,N,N
20,2015-11-22,SDG,KAN,L 3-33,Josh Lambo,52,Y,N
21,2015-11-23,BUF,NWE,L 13-20,Dan Carpenter,52,Y,N
22,2015-12-06,ATL,TAM,L 19-23,Shayne Graham,52,Y,N
23,2015-12-06,DEN,SDG,W 17-3,Brandon McManus,52,N,N
24,2015-12-27,NOR,JAX,W 38-27,Kai Forbath,52,N,N
25,2015-12-27,TAM,CHI,L 21-26,Connor Barth,52,N,N
26,2015-12-27,MIN,NYG,W 49-17,Blair Walsh,52,Y,N
27,2015-12-28,CIN,DEN,L 17-20,Mike Nugent,52,Y,N
28,2016-01-03,CIN,BAL,W 24-16,Mike Nugent,52,Y,N
29,2016-01-03,SEA,ARI,W 36-6,Stephen Hauschka,52,Y,N
30,2016-01-03,IND,TEN,W 30-24,Adam Vinatieri,52,Y,N
31,2016-01-03,STL,SFO,L 16-19,Greg Zuerlein,52,N,N
32,2016-01-03,SEA,ARI,W 36-6,Stephen Hauschka,52,Y,N
33,2016-01-24,DEN,NWE,W 20-18,Brandon McManus,52,Y,N
1,2015-09-13,KAN,HOU,W 27-20,Cairo Santos,51,N,N
2,2015-09-20,CHI,ARI,L 23-48,Robbie Gould,51,Y,N
3,2015-09-27,BUF,MIA,W 41-14,Dan Carpenter,51,Y,N
4,2015-10-04,NOR,DAL,W 26-20,Zach Hocker,51,Y,N
5,2015-10-04,KAN,CIN,L 21-36,Cairo Santos,51,Y,N
6,2015-10-04,BUF,NYG,L 10-24,Dan Carpenter,51,Y,N
7,2015-10-04,KAN,CIN,L 21-36,Cairo Santos,51,Y,N
8,2015-10-05,SEA,DET,W 13-10,Stephen Hauschka,51,Y,N
9,2015-10-11,BAL,CLE,L 30-33,Justin Tucker,51,N,N
10,2015-10-11,DAL,NWE,L 6-30,Dan Bailey,51,Y,N
11,2015-10-15,NOR,ATL,W 31-21,Zach Hocker,51,N,N
12,2015-10-18,DEN,CLE,W 26-23,Brandon McManus,51,N,N
13,2015-10-18,PIT,ARI,W 25-13,Chris Boswell,51,Y,N
14,2015-10-25,MIN,DET,W 28-19,Blair Walsh,51,Y,N
15,2015-11-01,CHI,MIN,L 20-23,Robbie Gould,51,N,N
16,2015-11-08,TEN,NOR,W 34-28,Ryan Succop,51,Y,N
17,2015-11-15,DET,GNB,W 18-16,Matt Prater,51,Y,N
18,2015-11-22,BAL,STL,W 16-13,Justin Tucker,51,N,N
19,2015-11-22,DET,OAK,W 18-13,Matt Prater,51,Y,N
20,2015-11-22,BAL,STL,W 16-13,Justin Tucker,51,N,N
21,2015-11-29,JAX,SDG,L 25-31,Jason Myers,51,Y,N
22,2015-11-29,WAS,NYG,W 20-14,Dustin Hopkins,51,N,Y
23,2015-11-29,MIN,ATL,W 20-10,Blair Walsh,51,N,N
24,2015-11-30,CLE,BAL,L 27-33,Travis Coons,51,N,Y
25,2015-12-03,DET,GNB,L 23-27,Matt Prater,51,Y,N
26,2015-12-06,SDG,DEN,L 3-17,Josh Lambo,51,Y,N
27,2015-12-06,CHI,SFO,L 20-26,Robbie Gould,51,Y,N
28,2015-12-06,PIT,IND,W 45-10,Chris Boswell,51,Y,N
29,2015-12-20,CHI,MIN,L 17-38,Robbie Gould,51,Y,N
30,2015-12-27,CLE,KAN,L 13-17,Travis Coons,51,N,Y
31,2016-01-03,ATL,NOR,L 17-20,Shayne Graham,51,Y,N
32,2016-01-03,HOU,JAX,W 30-6,Nick Novak,51,Y,N
33,2016-01-03,ARI,SEA,L 6-36,Chandler Catanzaro,51,N,N
34,2016-01-03,HOU,JAX,W 30-6,Nick Novak,51,Y,N
35,2016-01-17,DEN,PIT,W 23-16,Brandon McManus,51,Y,N
1,2015-09-13,CHI,GNB,L 23-31,Robbie Gould,50,Y,N
2,2015-09-13,NYG,DAL,L 26-27,Josh Brown,50,Y,N
3,2015-09-20,NWE,BUF,W 40-32,Stephen Gostkowski,50,Y,N
4,2015-09-27,BAL,CIN,L 24-28,Justin Tucker,50,N,N
5,2015-10-11,OAK,DEN,L 10-16,Sebastian Janikowski,50,Y,N
6,2015-10-11,STL,GNB,L 10-24,Greg Zuerlein,50,N,Y
7,2015-10-18,SEA,CAR,L 23-27,Stephen Hauschka,50,Y,N
8,2015-10-25,PHI,CAR,L 16-27,Caleb Sturgis,50,N,N
9,2015-11-01,DEN,GNB,W 29-10,Brandon McManus,50,Y,N
10,2015-11-01,NOR,NYG,W 52-49,Kai Forbath,50,Y,N
11,2015-11-02,IND,CAR,L 26-29,Adam Vinatieri,50,Y,N
