Rk,Date,Tm,Opp,Result,Player,Dist,Good.,Blk.
3,2019-09-15,NWE,MIA,W 43-0,Stephen Gostkowski,48,N,N
4,2019-09-16,CLE,NYJ,W 23-3,Austin Seibert,48,Y,N
5,2019-09-19,JAX,TEN,W 20-7,Josh Lambo,48,Y,N
6,2019-09-22,LAR,CLE,W 20-13,Greg Zuerlein,48,N,N
7,2019-09-29,CAR,HOU,W 16-10,Joey Slye,48,Y,N
8,2019-09-29,DET,KAN,L 30-34,Matt Prater,48,Y,N
9,2019-09-29,ARI,SEA,L 10-27,Zane Gonzalez,48,N,N
10,2019-10-03,SEA,LAR,W 30-29,Jason Myers,48,N,N
11,2019-10-06,MIN,NYG,W 28-10,Dan Bailey,48,Y,N
12,2019-10-06,LAC,DEN,L 13-20,Chase McLaughlin,48,N,Y
13,2019-10-06,BAL,PIT,W 26-23,Justin Tucker,48,Y,N
14,2019-10-06,CIN,ARI,L 23-26,Randy Bullock,48,Y,N
15,2019-10-13,DEN,TEN,W 16-0,Brandon McManus,48,Y,N
16,2019-10-14,GNB,DET,W 23-22,Mason Crosby,48,Y,N
17,2019-10-27,TAM,TEN,L 23-27,Matt Gay,48,Y,N
1,2019-09-08,SFO,TAM,W 31-17,Robbie Gould,47,Y,N
2,2019-09-09,NOR,HOU,W 30-28,Wil Lutz,47,Y,N
3,2019-09-15,MIN,GNB,L 16-21,Dan Bailey,47,N,N
4,2019-09-22,MIA,DAL,L 6-31,Jason Sanders,47,N,N
5,2019-09-22,TAM,NYG,L 31-32,Matt Gay,47,Y,N
6,2019-09-22,ARI,CAR,L 20-38,Zane Gonzalez,47,Y,N
7,2019-10-03,LAR,SEA,L 29-30,Greg Zuerlein,47,Y,N
8,2019-10-07,SFO,CLE,W 31-3,Robbie Gould,47,N,N
9,2019-10-13,NOR,JAX,W 13-6,Wil Lutz,47,Y,N
10,2019-10-20,HOU,IND,L 23-30,Ka'imi Fairbairn,47,Y,N
11,2019-10-20,ARI,NYG,W 27-21,Zane Gonzalez,47,Y,N
12,2019-10-27,ATL,SEA,L 20-27,Matt Bryant,47,Y,N
13,2019-10-27,CLE,NWE,L 13-27,Austin Seibert,47,Y,N
14,2019-10-27,NOR,ARI,W 31-9,Wil Lutz,47,N,N
1,2019-09-08,IND,LAC,L 24-30,Adam Vinatieri,46,N,N
2,2019-09-08,KAN,JAX,W 40-26,Harrison Butker,46,Y,N
3,2019-09-08,CAR,LAR,L 27-30,Joey Slye,46,Y,N
4,2019-09-16,NYJ,CLE,L 3-23,Sam Ficken,46,Y,N
5,2019-09-22,DET,PHI,W 27-24,Matt Prater,46,N,Y
6,2019-09-22,PIT,SFO,L 20-24,Chris Boswell,46,Y,N
7,2019-09-29,BUF,NWE,L 10-16,Stephen Hauschka,46,Y,N
8,2019-10-06,BAL,PIT,W 26-23,Justin Tucker,46,Y,N
9,2019-10-06,CAR,JAX,W 34-27,Joey Slye,46,N,N
10,2019-10-06,DEN,LAC,W 20-13,Brandon McManus,46,Y,N
11,2019-10-13,HOU,KAN,W 31-24,Ka'imi Fairbairn,46,N,N
12,2019-10-13,CAR,TAM,W 37-26,Joey Slye,46,Y,N
13,2019-10-20,DET,MIN,L 30-42,Matt Prater,46,Y,N
14,2019-10-20,CHI,NOR,L 25-36,Eddy Pineiro,46,Y,N
1,2019-09-08,CIN,SEA,L 20-21,Randy Bullock,45,N,N
2,2019-09-08,NYJ,BUF,L 16-17,Kaare Vedvik,45,N,N
3,2019-09-15,TEN,IND,L 17-19,Cairo Santos,45,N,N
4,2019-09-22,BUF,CIN,W 21-17,Stephen Hauschka,45,Y,N
5,2019-09-22,GNB,DEN,W 27-16,Mason Crosby,45,N,N
6,2019-09-29,LAC,MIA,W 30-10,Ty Long,45,Y,N
7,2019-09-29,TEN,ATL,W 24-10,Cairo Santos,45,Y,N
8,2019-10-06,MIN,NYG,W 28-10,Dan Bailey,45,Y,N
9,2019-10-06,LAC,DEN,L 13-20,Chase McLaughlin,45,Y,N
10,2019-10-17,DEN,KAN,L 6-30,Brandon McManus,45,N,N
11,2019-10-20,MIN,DET,W 42-30,Dan Bailey,45,N,N
12,2019-10-20,SFO,WAS,W 9-0,Robbie Gould,45,N,N
13,2019-10-20,OAK,GNB,L 24-42,Daniel Carlson,45,Y,N
14,2019-10-20,TEN,LAC,W 23-20,Cody Parkey,45,Y,N
15,2019-10-20,BUF,MIA,W 31-21,Stephen Hauschka,45,Y,N
16,2019-10-27,IND,DEN,W 15-13,Adam Vinatieri,45,Y,N
17,2019-10-27,IND,DEN,W 15-13,Adam Vinatieri,45,N,N
1,2019-09-08,IND,LAC,L 24-30,Adam Vinatieri,44,Y,N
2,2019-09-23,CHI,WAS,W 31-15,Eddy Pineiro,44,N,N
3,2019-09-29,LAC,MIA,W 30-10,Ty Long,44,Y,N
4,2019-09-29,KAN,DET,W 34-30,Harrison Butker,44,Y,N
5,2019-09-29,LAR,TAM,L 40-55,Greg Zuerlein,44,Y,N
6,2019-10-03,LAR,SEA,L 29-30,Greg Zuerlein,44,N,N
7,2019-10-07,SFO,CLE,W 31-3,Robbie Gould,44,Y,N
8,2019-10-13,ATL,ARI,L 33-34,Matt Bryant,44,Y,N
9,2019-10-13,HOU,KAN,W 31-24,Ka'imi Fairbairn,44,Y,N
10,2019-10-27,OAK,HOU,L 24-27,Daniel Carlson,44,Y,N
1,2019-09-08,BUF,NYJ,W 17-16,Stephen Hauschka,43,Y,N
2,2019-09-15,DEN,CHI,L 14-16,Brandon McManus,43,Y,N
3,2019-09-16,CLE,NYJ,W 23-3,Austin Seibert,43,Y,N
4,2019-09-22,LAC,HOU,L 20-27,Ty Long,43,Y,N
5,2019-09-22,CIN,BUF,L 17-21,Randy Bullock,43,Y,N
6,2019-09-23,WAS,CHI,L 15-31,Dustin Hopkins,43,N,N
7,2019-09-29,ARI,SEA,L 10-27,Zane Gonzalez,43,N,N
8,2019-09-29,CLE,BAL,W 40-25,Austin Seibert,43,Y,N
9,2019-10-13,LAC,PIT,L 17-24,Chase McLaughlin,43,N,N
10,2019-10-20,BUF,MIA,W 31-21,Stephen Hauschka,43,Y,N
11,2019-10-24,WAS,MIN,L 9-19,Dustin Hopkins,43,Y,N
12,2019-10-27,JAX,NYJ,W 29-15,Josh Lambo,43,Y,N
1,2019-09-08,ARI,DET,T 27-27,Zane Gonzalez,42,Y,N
2,2019-09-12,TAM,CAR,W 20-14,Matt Gay,42,N,N
3,2019-09-15,NOR,LAR,L 9-27,Wil Lutz,42,Y,N
4,2019-09-22,GNB,DEN,W 27-16,Mason Crosby,42,Y,N
5,2019-09-22,KAN,BAL,W 33-28,Harrison Butker,42,Y,N
6,2019-09-29,ATL,TEN,L 10-24,Matt Bryant,42,Y,N
7,2019-09-29,NOR,DAL,W 12-10,Wil Lutz,42,Y,N
8,2019-10-03,SEA,LAR,W 30-29,Jason Myers,42,Y,N
9,2019-10-06,TAM,NOR,L 24-31,Matt Gay,42,Y,N
10,2019-10-20,NOR,CHI,W 36-25,Wil Lutz,42,N,N
11,2019-10-27,LAC,CHI,W 17-16,Chase McLaughlin,42,N,N
12,2019-10-27,SEA,ATL,W 27-20,Jason Myers,42,Y,N
13,2019-10-27,TEN,TAM,W 27-23,Cody Parkey,42,Y,N
1,2019-09-08,NWE,PIT,W 33-3,Stephen Gostkowski,41,Y,N
2,2019-09-08,WAS,PHI,L 27-32,Dustin Hopkins,41,Y,N
3,2019-09-08,LAR,CAR,W 30-27,Greg Zuerlein,41,N,N
4,2019-09-15,PIT,SEA,L 26-28,Chris Boswell,41,Y,N
5,2019-09-15,LAC,DET,L 10-13,Ty Long,41,N,N
6,2019-09-15,PHI,ATL,L 20-24,Jake Elliott,41,Y,N
7,2019-09-22,GNB,DEN,W 27-16,Mason Crosby,41,Y,N
